local-authority-discovery	local-authority	uk
WSX-UH	local-authority-eng:WOB	ENG
WOR-UE	local-authority-eng:WOC	ENG
WOK	local-authority-eng:WOK	ENG
WOR	local-authority-eng:WOR	ENG
DOR-UJ	local-authority-eng:WPO	ENG
WRL	local-authority-eng:WRL	ENG
WRT	local-authority-eng:WRT	ENG
WSM	local-authority-eng:WSM	ENG
WSX	local-authority-eng:WSX	ENG
HRT-UK	local-authority-eng:WTF	ENG
SRY-UL	local-authority-eng:WVY	ENG
WAR-UF	local-authority-eng:WWK	ENG
LAN-UQ	local-authority-eng:WYC	ENG
BKM-UF	local-authority-eng:WYD	ENG
WOR-UG	local-authority-eng:WYF	ENG
WOR-UF	local-authority-eng:WYN	ENG
YOR	local-authority-eng:YOR	ENG
ABD	local-authority-sct:ABD	SCT
ABE	local-authority-sct:ABE	SCT
AGB	local-authority-sct:AGB	SCT
ANS	local-authority-sct:ANS	SCT
CLK	local-authority-sct:CLK	SCT
DGY	local-authority-sct:DGY	SCT
DND	local-authority-sct:DND	SCT
EAY	local-authority-sct:EAY	SCT
EDH	local-authority-sct:EDH	SCT
EDU	local-authority-sct:EDU	SCT
ELN	local-authority-sct:ELN	SCT
ELS	local-authority-sct:ELS	SCT
ERW	local-authority-sct:ERW	SCT
FAL	local-authority-sct:FAL	SCT
FIF	local-authority-sct:FIF	SCT
GLG	local-authority-sct:GLG	SCT
HLD	local-authority-sct:HLD	SCT
IVC	local-authority-sct:IVC	SCT
MLN	local-authority-sct:MLN	SCT
MRY	local-authority-sct:MRY	SCT
NAY	local-authority-sct:NAY	SCT
NLK	local-authority-sct:NLK	SCT
ORK	local-authority-sct:ORK	SCT
PKN	local-authority-sct:PKN	SCT
RFW	local-authority-sct:RFW	SCT
SAY	local-authority-sct:SAY	SCT
SCB	local-authority-sct:SCB	SCT
SLK	local-authority-sct:SLK	SCT
STG	local-authority-sct:STG	SCT
WDU	local-authority-sct:WDU	SCT
WLN	local-authority-sct:WLN	SCT
ZET	local-authority-sct:ZET	SCT
ABC	local-authority-nir:ABC	NIR
AND	local-authority-nir:AND	NIR
ANN	local-authority-nir:ANN	NIR
BFS	local-authority-nir:BFS	NIR
CCG	local-authority-nir:CCG	NIR
DRS	local-authority-nir:DRS	NIR
FMO	local-authority-nir:FMO	NIR
LBC	local-authority-nir:LBC	NIR
MEA	local-authority-nir:MEA	NIR
MUL	local-authority-nir:MUL	NIR
NMD	local-authority-nir:NMD	NIR
NIR-A	local-authority-nir:NIR-A	NIR
NIR-B	local-authority-nir:NIR-B	NIR
NIR-C	local-authority-nir:NIR-C	NIR
NIR-D	local-authority-nir:NIR-D	NIR
NIR-E	local-authority-nir:NIR-E	NIR
NIR-F	local-authority-nir:NIR-F	NIR
NIR-G	local-authority-nir:NIR-G	NIR
NIR-H	local-authority-nir:NIR-H	NIR
NIR-I	local-authority-nir:NIR-I	NIR
NIR-J	local-authority-nir:NIR-J	NIR
NIR-K	local-authority-nir:NIR-K	NIR
NIR-L	local-authority-nir:NIR-L	NIR
NIR-M	local-authority-nir:NIR-M	NIR
NIR-N	local-authority-nir:NIR-N	NIR
NIR-O	local-authority-nir:NIR-O	NIR
NIR-P	local-authority-nir:NIR-P	NIR
NIR-Q	local-authority-nir:NIR-Q	NIR
NIR-R	local-authority-nir:NIR-R	NIR
NIR-S	local-authority-nir:NIR-S	NIR
