local-authority	uk	local-authority-type	parent-local-authority	name	name-cy	official-name	website	start-date	end-date	snac
NFK-UC	ENG		NFK			Broadland District Council	http://www.broadland.gov.uk			33UC
NFK-UB	ENG		NFK			Breckland Council	http://www.breckland.gov.uk			33UB
NFK-UH	ENG		NFK			South Norfolk District Council	http://www.south-norfolk.gov.uk			33UH
NFK-UF	ENG		NFK			North Norfolk District Council	http://www.northnorfolk.org			33UF
NFK-UD	ENG		NFK			Great Yarmouth Borough Council	http://www.great-yarmouth.gov.uk			33UD
NFK-UG	ENG		NFK			Norwich City Council	http://www.norwich.gov.uk			33UG
NFK	ENG	CTY	NFK	Norfolk		Norfolk County Council	http://www.norfolk.gov.uk			33
NFK-UE	ENG		NFK			Borough Council of Kings Lynn and West Norfolk	http://www.west-norfolk.gov.uk			33UE
NTH-UF	ENG		NTH			Northampton Borough Council	http://www.northampton.gov.uk			34UF
NTH-UG	ENG		NTH			South Northamptonshire Council	http://www.southnorthants.gov.uk			34UG
NTH-UD	ENG		NTH			East Northamptonshire Council	http://www.east-northamptonshire.gov.uk			34UD
NTH-UE	ENG		NTH			Kettering Borough Council	http://www.kettering.gov.uk			34UE
NTH-UB	ENG		NTH			Corby Borough Council	http://www.corby.gov.uk			34UB
NTH	ENG	CTY	NTH	Northamptonshire		Northamptonshire County Council	http://www.northamptonshire.gov.uk			34
NTH-UH	ENG		NTH			Wellingborough Borough Council	http://www.wellingborough.gov.uk			34UH
NTH-UC	ENG		NTH			Daventry District Council	http://www.daventrydc.gov.uk			34UC
NTT	ENG	CTY	NTT	Nottinghamshire		Nottinghamshire County Council	http://www.nottinghamshire.gov.uk			37
NTT-UD	ENG		NTT			Broxtowe Borough Council	http://www.broxtowe.gov.uk			37UD
NTT-UC	ENG		NTT			Bassetlaw District Council	http://www.bassetlaw.gov.uk			37UC
NTT-UG	ENG		NTT			Newark and Sherwood District Council	http://www.newark-sherwooddc.gov.uk			37UG
NTT-UB	ENG		NTT			Ashfield District Council	http://www.ashfield-dc.gov.uk			37UB
